tokenizer_name,language,region,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
Gemma-4,Hebrew,Middle East,2.706,2.172,0.0,0.0,100.0,100.0,46.44,46995,17368,102054,1012
BLOOM,Hebrew,Middle East,4.568,1.286,7.34,0.0,96.3,100.0,78.4,79336,17368,102054,1012
DictaLM-2.0-7B,Hebrew,Middle East,2.642,2.224,0.0,0.0,83.33,100.0,45.35,45891,17368,102054,1012
Gemma-4,Kurdish,Middle East,2.358,2.438,0.0,0.0,100.0,100.0,52.84,53472,22675,130372,1012
BLOOM,Kurdish,Middle East,2.446,2.35,0.09,0.0,99.05,100.0,54.81,55472,22675,130372,1012
Mistral-Nemo-Kurdish,Kurdish,Middle East,2.486,2.313,0.51,0.0,96.19,100.0,55.7,56366,22675,130372,1012
Gemma-4,Azerbaijani,Middle East,2.873,2.619,0.91,0.0,100.0,100.0,54.24,54891,19105,143739,1012
BLOOM,Azerbaijani,Middle East,3.296,2.283,0.47,0.0,97.09,100.0,62.23,62972,19105,143739,1012
Gemma-4,Uzbek,Middle East,2.839,2.888,0.01,0.0,97.85,100.0,51.09,51704,18209,149323,1012
BLOOM,Uzbek,Middle East,2.974,2.757,0.0,0.0,98.92,100.0,53.51,54156,18209,149323,1012
Mistral-7B-Uz,Uzbek,Middle East,3.515,2.333,0.0,0.0,100.0,100.0,63.25,64005,18209,149323,1012
Gemma-4,Kazakh,Middle East,3.184,2.452,0.0,0.0,100.0,100.0,54.58,55231,17349,135404,1012
BLOOM,Kazakh,Middle East,5.089,1.534,2.79,0.0,86.96,100.0,87.25,88293,17349,135404,1012
Gemma-4,Chinese,East Asia,14.132,1.479,0.05,0.0,99.86,100.0,28.89,29240,2069,43248,1012
BLOOM,Chinese,East Asia,12.117,1.725,0.79,0.0,98.06,100.0,24.77,25070,2069,43248,1012
Gemma-4,Japanese,East Asia,30.432,1.731,0.0,0.0,100.0,100.0,32.51,32897,1081,56943,1012
BLOOM,Japanese,East Asia,44.828,1.175,2.32,0.0,87.24,100.0,47.88,48459,1081,56943,1012
