model,language,flores_code,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
TildeOpen-30B,Serbian,srp_Cyrl,2.674,2.364,0.0,0.0,88.97,0.0,54.67,55330,20688,130780,1012
Aya-Vision-32B,Serbian,srp_Cyrl,2.625,2.408,4.61,0.0,93.79,100.0,53.66,54305,20688,130780,1012
Llama-3.3-70B,Icelandic,isl_Latn,2.796,2.283,0.64,0.0,99.12,100.0,56.18,56857,20333,129783,1012
Mistral-Small-3.2,Icelandic,isl_Latn,2.776,2.299,0.0,0.0,90.27,0.0,55.77,56440,20333,129783,1012
Teuken-7B,Icelandic,isl_Latn,2.721,2.346,0.7,0.0,69.03,99.8,54.66,55319,20333,129783,1012
EuroLLM-22B,Icelandic,isl_Latn,2.687,2.376,0.02,0.0,82.3,100.0,53.98,54631,20333,129783,1012
SauerkrautLM-70B,Icelandic,isl_Latn,2.796,2.283,0.64,0.0,99.12,100.0,56.18,56857,20333,129783,1012
GEITje-7B,Icelandic,isl_Latn,3.087,2.068,0.01,0.0,78.76,100.0,62.02,62768,20333,129783,1012
TildeOpen-30B,Icelandic,isl_Latn,3.091,2.065,0.0,0.0,84.96,0.0,62.11,62859,20333,129783,1012
Aya-Vision-32B,Icelandic,isl_Latn,2.676,2.385,0.57,0.0,99.12,100.0,53.77,54415,20333,129783,1012
Llama-3.3-70B,Albanian,als_Latn,2.454,2.435,0.48,0.0,100.0,100.0,59.67,60386,24611,147064,1012
Mistral-Small-3.2,Albanian,als_Latn,2.438,2.451,0.0,0.0,95.74,0.0,59.29,60000,24611,147064,1012
Teuken-7B,Albanian,als_Latn,2.765,2.161,0.01,0.0,69.15,99.6,67.24,68049,24611,147064,1012
EuroLLM-22B,Albanian,als_Latn,2.503,2.387,0.02,0.0,81.91,100.0,60.88,61611,24611,147064,1012
SauerkrautLM-70B,Albanian,als_Latn,2.454,2.435,0.48,0.0,100.0,100.0,59.67,60386,24611,147064,1012
GEITje-7B,Albanian,als_Latn,2.886,2.071,0.0,0.0,79.79,100.0,70.17,71017,24611,147064,1012
TildeOpen-30B,Albanian,als_Latn,2.839,2.105,0.0,0.0,85.11,0.0,69.04,69869,24611,147064,1012
Aya-Vision-32B,Albanian,als_Latn,2.507,2.383,0.48,0.0,98.94,100.0,60.97,61705,24611,147064,1012
Aya-Vision-32B,French,fra_Latn,1.415,4.349,0.72,0.0,100.0,100.0,35.82,36246,25618,157638,1012
Aya-Vision-32B,German,deu_Latn,1.635,4.324,0.76,0.0,99.07,100.0,35.15,35572,21760,153809,1012
Aya-Vision-32B,Spanish,spa_Latn,1.297,4.642,0.78,0.0,100.0,100.0,33.42,33824,26081,156997,1012
Aya-Vision-32B,Italian,ita_Latn,1.464,4.387,0.73,0.0,99.06,100.0,35.17,35591,24311,156138,1012
Aya-Vision-32B,Portuguese,por_Latn,1.331,4.601,0.93,0.0,100.0,100.0,30.8,31170,23413,143418,1012
Aya-Vision-32B,Dutch,nld_Latn,1.483,4.325,0.78,0.0,98.11,100.0,33.7,34109,22999,147507,1012
Aya-Vision-32B,Polish,pol_Latn,1.847,3.874,0.74,0.0,100.0,100.0,35.57,36001,19488,139483,1012
Aya-Vision-32B,Romanian,ron_Latn,1.569,3.99,0.74,0.0,99.11,100.0,36.8,37238,23729,148571,1012
Aya-Vision-32B,Ukrainian,ukr_Cyrl,1.946,3.602,0.76,0.0,100.0,100.0,36.89,37329,19181,134446,1012
Aya-Vision-32B,Swedish,swe_Latn,2.118,3.079,0.7,0.0,100.0,100.0,42.42,42932,20267,132173,1012
Aya-Vision-32B,Czech,ces_Latn,1.805,3.676,0.84,0.0,99.13,100.0,34.21,34620,19178,127257,1012
Aya-Vision-32B,Greek,ell_Grek,1.789,3.684,0.69,0.0,98.69,100.0,42.25,42760,23899,157539,1012
Aya-Vision-32B,Russian,rus_Cyrl,1.736,4.164,0.87,0.0,100.0,100.0,33.72,34123,19655,142096,1012
Gemma-4,Albanian,als_Latn,2.148,2.781,0.0,0.0,100.0,100.0,52.25,52876,24611,147064,1012
Gemma-4,Slovenian,slv_Latn,2.109,3.076,0.77,0.0,98.99,100.0,42.04,42542,20169,130855,1012
